UserId,UserName,City,DateJoined,Pin,Firstname,Lastname,bio,email
1,Mike,Champaign,2020-01-30,c32edcd,,,,
2,Amanda,Urbana,2020-01-31,cfrwf4,,,,
3,Ross,Springfield,2020-02-01,dcs3,,,,
4,Monica,Urbana,2020-02-02,dac,,,,
5,Ashely,Springfield,2020-02-03,3fefsdf,,,,
6,Robin,Champaign,2020-02-04,tegvsg4,,,,
7,Jathy,Urbana,2020-02-05,3fadv3r5tg,,,,
8,Stephan,Chicago,2020-02-06,freg56,,,,
9,Chandeler,Chicago,2020-02-07,xdfaef,,,,
10,Coco,Wheaton,2020-02-08,vsrfg5w3,,,,
11,Nikita,Aurora,2020-02-09,4frg5gv4,,,,
12,Rothy,Peoria,2020-02-10,vsbt45,,,,
13,Caroline,Rockford,2020-02-11,fw3fdff7,,,,
14,Rachel,Joliet,2020-02-12,v4vscew4,,,,
15,Fox,Naperville,2020-02-13,ctr5g,,,,
16,Will,Rockford,2020-02-14,d3fsv4,,,,
17,Shelton,Naperville,2020-02-15,f5gvre4,,,,
18,Junren,Urbana,2020-02-16,3qeg4g67,,,,
19,Chonghan,Urbana,2020-02-17,verfw3f,,,,
